month;category;revenue;units;avg_price
2026-07;agro_industry_and_commerce;6669.82;27;247.03037
2026-07;air_conditioning;2657.86;17;156.344706
2026-07;art;1843.2;21;87.771429
2026-07;arts_and_craftmanship;654.57;11;59.506364
2026-07;audio;2062.64;22;93.756364
2026-07;auto;43466.79;341;127.468592
2026-07;baby;21834.12;214;102.028598
2026-07;bed_bath_table;54405.23;617;88.177034
2026-07;books_general_interest;4077.45;25;163.098
2026-07;books_imported;357.79;7;51.112857
2026-07;books_technical;1994.93;26;76.728077
2026-07;christmas_supplies;509.56;8;63.695
2026-07;cine_photo;1178.54;7;168.362857
2026-07;computers;11239.0;8;1404.875
2026-07;computers_accessories;41063.31;418;98.237584
2026-07;consoles_games;8519.11;49;173.859388
2026-07;construction_tools_construction;15237.47;115;132.499739
2026-07;construction_tools_lights;7249.61;55;131.811091
2026-07;construction_tools_safety;1888.95;15;125.93
2026-07;cool_stuff;21152.01;115;183.930522
2026-07;costruction_tools_garden;1922.66;22;87.393636
2026-07;costruction_tools_tools;5501.2;12;458.433333
2026-07;diapers_and_hygiene;121.0;3;40.333333
2026-07;drinks;1260.17;16;78.760625
2026-07;dvds_blu_ray;83.99;1;83.99
2026-07;electronics;9270.95;151;61.39702
2026-07;fashion_bags_accessories;6071.07;74;82.041486
2026-07;fashion_male_clothing;208.7;5;41.74
2026-07;fashion_shoes;820.19;5;164.038
2026-07;fashion_underwear_beach;109.8;2;54.9
2026-07;fixed_telephony;9319.39;11;847.217273
2026-07;flowers;47.99;2;23.995
2026-07;food;3378.17;64;52.783906
2026-07;food_drink;778.73;17;45.807647
2026-07;furniture_bedroom;1386.9;10;138.69
2026-07;furniture_decor;45393.59;436;104.113739
2026-07;furniture_living_room;6706.64;54;124.197037
2026-07;furniture_mattress_and_upholstery;129.9;1;129.9
2026-07;garden_tools;25639.88;177;144.858079
2026-07;health_beauty;103524.22;770;134.447039
2026-07;home_appliances;5173.03;78;66.320897
2026-07;home_appliances_2;12597.32;23;547.709565
2026-07;home_comfort_2;38.7;3;12.9
2026-07;home_confort;2906.48;23;126.368696
2026-07;home_construction;6700.25;60;111.670833
2026-07;housewares;62583.3;564;110.963298
2026-07;industry_commerce_and_business;4697.21;14;335.515
2026-07;kitchen_dining_laundry_garden_furniture;3736.95;22;169.861364
2026-07;luggage_accessories;5821.72;54;107.80963
2026-07;market_place;186.78;4;46.695
2026-07;music;849.3;3;283.1
2026-07;musical_instruments;7871.93;36;218.664722
2026-07;office_furniture;13225.28;80;165.316
2026-07;party_supplies;57.5;2;28.75
2026-07;pc_gamer;438.0;2;219.0
2026-07;perfumery;20645.97;199;103.748593
2026-07;pet_shop;19343.85;158;122.42943
2026-07;portateis_cozinha_e_preparadores_de_alimentos;172.03;8;21.50375
2026-07;signaling_and_security;3785.19;29;130.523793
2026-07;small_appliances;8161.35;42;194.317857
2026-07;small_appliances_home_oven_and_coffee;4699.67;15;313.311333
2026-07;sports_leisure;54015.89;460;117.425848
2026-07;stationery;17217.19;190;90.616789
2026-07;telephony;26492.68;221;119.87638
2026-07;toys;17022.0;154;110.532468
2026-07;uncategorized;4612.0;47;98.12766
2026-07;watches_gifts;95164.79;521;182.657946
