month,category,tier,growth_rate,budget_revenue,budget_units,budget_avg_price
2026-08,agro_industry_and_commerce,mid,0.05,92.4,4.2,22.0
2026-08,air_conditioning,mid,0.05,4485.3165,15.75,284.782
2026-08,art,mid,0.05,256.935,4.2,61.175
2026-08,audio,high,0.1,1155.7700000000002,7.700000000000001,150.1
2026-08,auto,mid,0.05,19868.7405,169.05,117.53173913043476
2026-08,baby,mid,0.05,20118.105,133.35,150.86692913385826
2026-08,bed_bath_table,low,0.02,57712.2426,516.12,111.81942687747036
2026-08,books_general_interest,mid,0.05,2388.75,28.35,84.25925925925925
2026-08,books_imported,mid,0.05,64.05,1.05,60.99999999999999
2026-08,books_technical,mid,0.05,1256.199,9.45,132.9311111111111
2026-08,christmas_supplies,mid,0.05,61.845,1.05,58.9
2026-08,computers,high,0.1,35640.0,30.800000000000004,1157.1428571428569
2026-08,computers_accessories,high,0.1,37209.117000000006,375.1,99.19785923753666
2026-08,consoles_games,high,0.1,8860.225,92.4,95.88988095238096
2026-08,construction_tools_construction,low,0.02,1203.6,7.140000000000001,168.57142857142856
2026-08,construction_tools_lights,low,0.02,600.78,2.04,294.5
2026-08,construction_tools_safety,low,0.02,9.078,1.02,8.9
2026-08,cool_stuff,mid,0.05,40177.7355,268.8,149.4707421875
2026-08,costruction_tools_garden,low,0.02,1311.9138,10.2,128.619
2026-08,drinks,mid,0.05,125.895,2.1,59.95
2026-08,dvds_blu_ray,mid,0.05,119.07,6.300000000000001,18.9
2026-08,electronics,high,0.1,3139.5650000000005,61.60000000000001,50.96696428571429
2026-08,fashio_female_clothing,mid,0.05,198.135,4.2,47.175
2026-08,fashion_bags_accessories,mid,0.05,6760.834500000001,99.75,67.77778947368422
2026-08,fashion_male_clothing,mid,0.05,1233.813,14.7,83.93285714285715
2026-08,fashion_shoes,mid,0.05,1566.2745000000002,23.1,67.80409090909092
2026-08,fashion_sport,mid,0.05,279.09000000000003,2.1,132.9
2026-08,fashion_underwear_beach,mid,0.05,1166.55,13.65,85.46153846153845
2026-08,fixed_telephony,mid,0.05,3510.717,21.0,167.177
2026-08,food,mid,0.05,382.725,8.4,45.5625
2026-08,food_drink,mid,0.05,519.5505,15.75,32.98733333333334
2026-08,furniture_bedroom,low,0.02,630.36,3.06,206.0
2026-08,furniture_decor,low,0.02,34267.8078,434.52,78.86359154929578
2026-08,furniture_living_room,low,0.02,2527.6314,23.46,107.74217391304347
2026-08,garden_tools,low,0.02,23379.3486,237.66,98.37309012875536
2026-08,health_beauty,mid,0.05,51481.7415,369.6,139.29042613636364
2026-08,home_appliances,low,0.02,3999.777,42.84,93.3654761904762
2026-08,home_appliances_2,low,0.02,3760.281,15.3,245.77
2026-08,home_confort,low,0.02,4080.1938,28.56,142.86392857142857
2026-08,home_construction,low,0.02,127.296,1.02,124.8
2026-08,housewares,low,0.02,23896.3968,285.6,83.67085714285714
2026-08,industry_commerce_and_business,mid,0.05,1004.745,3.1500000000000004,318.96666666666664
2026-08,kitchen_dining_laundry_garden_furniture,low,0.02,1026.324,7.140000000000001,143.74285714285713
2026-08,luggage_accessories,mid,0.05,6859.755000000001,65.10000000000001,105.37258064516128
2026-08,market_place,mid,0.05,2034.2595,24.15,84.23434782608696
2026-08,musical_instruments,mid,0.05,7444.0275,24.15,308.2413043478261
2026-08,office_furniture,low,0.02,10074.9072,59.16,170.2993103448276
2026-08,perfumery,mid,0.05,13739.355,133.35,103.03228346456694
2026-08,pet_shop,mid,0.05,10947.079500000002,93.45,117.14370786516857
2026-08,signaling_and_security,mid,0.05,396.69000000000005,4.2,94.45
2026-08,small_appliances,mid,0.05,4511.860500000001,37.8,119.3613888888889
2026-08,small_appliances_home_oven_and_coffee,low,0.02,22.338,1.02,21.9
2026-08,sports_leisure,mid,0.05,42656.0085,437.85,97.4215107913669
2026-08,stationery,mid,0.05,6685.2555,84.0,79.586375
2026-08,telephony,mid,0.05,11080.9755,138.6,79.94931818181819
2026-08,toys,mid,0.05,18559.1385,191.1,97.1174175824176
2026-08,uncategorized,mid,0.05,5216.8725,78.75,66.24600000000001
2026-08,watches_gifts,mid,0.05,37979.4975,221.55,171.4263033175355
