category;revenue;units;prior_revenue;revenue_growth_pct;status
agro_industry_and_commerce;3515.8;10;;;no_prior_month
air_conditioning;3567.9;15;;;no_prior_month
art;2500.14;28;;;no_prior_month
audio;1830.69;20;;;no_prior_month
auto;44962.59;295;;;no_prior_month
baby;30550.32;223;;;no_prior_month
bed_bath_table;70857.08;764;;;no_prior_month
books_general_interest;3275.49;38;;;no_prior_month
books_imported;468.17;9;;;no_prior_month
books_technical;1747.43;26;;;no_prior_month
christmas_supplies;306.19;7;;;no_prior_month
cine_photo;435.85;13;;;no_prior_month
computers;13127.0;13;;;no_prior_month
computers_accessories;41806.37;401;;;no_prior_month
consoles_games;6903.01;43;;;no_prior_month
construction_tools_construction;22947.72;113;;;no_prior_month
construction_tools_lights;4583.41;44;;;no_prior_month
construction_tools_safety;2565.37;16;;;no_prior_month
cool_stuff;19316.37;103;;;no_prior_month
costruction_tools_garden;799.44;11;;;no_prior_month
costruction_tools_tools;527.0;4;;;no_prior_month
diapers_and_hygiene;321.0;7;;;no_prior_month
drinks;1567.07;33;;;no_prior_month
dvds_blu_ray;382.88;6;;;no_prior_month
electronics;9664.57;191;;;no_prior_month
fashion_bags_accessories;7869.95;87;;;no_prior_month
fashion_childrens_clothes;89.99;1;;;no_prior_month
fashion_male_clothing;447.8;7;;;no_prior_month
fashion_shoes;1230.58;10;;;no_prior_month
fashion_underwear_beach;129.3;7;;;no_prior_month
fixed_telephony;2080.32;17;;;no_prior_month
flowers;108.0;2;;;no_prior_month
food;1371.18;24;;;no_prior_month
food_drink;293.85;11;;;no_prior_month
furniture_bedroom;1559.99;9;;;no_prior_month
furniture_decor;42042.22;402;;;no_prior_month
furniture_living_room;3541.62;29;;;no_prior_month
garden_tools;17948.72;184;;;no_prior_month
health_beauty;106745.72;875;;;no_prior_month
home_appliances;5830.38;65;;;no_prior_month
home_appliances_2;8312.72;19;;;no_prior_month
home_comfort_2;25.8;2;;;no_prior_month
home_confort;2386.49;16;;;no_prior_month
home_construction;9094.59;71;;;no_prior_month
housewares;55912.61;577;;;no_prior_month
industry_commerce_and_business;2609.9;26;;;no_prior_month
kitchen_dining_laundry_garden_furniture;3538.43;29;;;no_prior_month
luggage_accessories;5070.88;36;;;no_prior_month
market_place;556.46;7;;;no_prior_month
music;109.08;3;;;no_prior_month
musical_instruments;16177.92;47;;;no_prior_month
office_furniture;12125.58;76;;;no_prior_month
party_supplies;84.8;2;;;no_prior_month
perfumery;26963.93;186;;;no_prior_month
pet_shop;19491.78;178;;;no_prior_month
signaling_and_security;5863.18;27;;;no_prior_month
small_appliances;15431.63;49;;;no_prior_month
small_appliances_home_oven_and_coffee;3499.0;3;;;no_prior_month
sports_leisure;44916.01;419;;;no_prior_month
stationery;12859.08;167;;;no_prior_month
tablets_printing_image;50.0;1;;;no_prior_month
telephony;22669.86;216;;;no_prior_month
toys;21094.95;190;;;no_prior_month
uncategorized;2387.13;23;;;no_prior_month
watches_gifts;85027.57;477;;;no_prior_month
