category;revenue;units;prior_revenue;prior_units;revenue_growth_pct;status
costruction_tools_tools;5501.2;12.0;527.0;4.0;943.87;ok
music;849.3;3.0;109.08;3.0;678.6;ok
fixed_telephony;9319.39;11.0;2080.32;17.0;347.98;ok
cine_photo;1178.54;7.0;435.85;13.0;170.4;ok
food_drink;778.73;17.0;293.85;11.0;165.01;ok
food;3378.17;64.0;1371.18;24.0;146.37;ok
costruction_tools_garden;1922.66;22.0;799.44;11.0;140.5;ok
uncategorized;4612.0;47.0;2387.13;23.0;93.2;ok
agro_industry_and_commerce;6669.82;27.0;3515.8;10.0;89.71;ok
furniture_living_room;6706.64;54.0;3541.62;29.0;89.37;ok
industry_commerce_and_business;4697.21;14.0;2609.9;26.0;79.98;ok
christmas_supplies;509.56;8.0;306.19;7.0;66.42;ok
construction_tools_lights;7249.61;55.0;4583.41;44.0;58.17;ok
home_appliances_2;12597.32;23.0;8312.72;19.0;51.54;ok
home_comfort_2;38.7;3.0;25.8;2.0;50.0;ok
garden_tools;25639.88;177.0;17948.72;184.0;42.85;ok
small_appliances_home_oven_and_coffee;4699.67;15.0;3499.0;3.0;34.31;ok
stationery;17217.19;190.0;12859.08;167.0;33.89;ok
books_general_interest;4077.45;25.0;3275.49;38.0;24.48;ok
consoles_games;8519.11;49.0;6903.01;43.0;23.41;ok
home_confort;2906.48;23.0;2386.49;16.0;21.79;ok
sports_leisure;54015.89;460.0;44916.01;419.0;20.26;ok
telephony;26492.68;221.0;22669.86;216.0;16.86;ok
luggage_accessories;5821.72;54.0;5070.88;36.0;14.81;ok
books_technical;1994.93;26.0;1747.43;26.0;14.16;ok
audio;2062.64;22.0;1830.69;20.0;12.67;ok
housewares;62583.3;564.0;55912.61;577.0;11.93;ok
watches_gifts;95164.79;521.0;85027.57;477.0;11.92;ok
cool_stuff;21152.01;115.0;19316.37;103.0;9.5;ok
office_furniture;13225.28;80.0;12125.58;76.0;9.07;ok
furniture_decor;45393.59;436.0;42042.22;402.0;7.97;ok
kitchen_dining_laundry_garden_furniture;3736.95;22.0;3538.43;29.0;5.61;ok
pet_shop;19343.85;158.0;19491.78;178.0;-0.76;ok
computers_accessories;41063.31;418.0;41806.37;401.0;-1.78;ok
health_beauty;103524.22;770.0;106745.72;875.0;-3.02;ok
auto;43466.79;341.0;44962.59;295.0;-3.33;ok
electronics;9270.95;151.0;9664.57;191.0;-4.07;ok
furniture_bedroom;1386.9;10.0;1559.99;9.0;-11.1;ok
home_appliances;5173.03;78.0;5830.38;65.0;-11.27;ok
computers;11239.0;8.0;13127.0;13.0;-14.38;ok
fashion_underwear_beach;109.8;2.0;129.3;7.0;-15.08;ok
toys;17022.0;154.0;21094.95;190.0;-19.31;ok
drinks;1260.17;16.0;1567.07;33.0;-19.58;ok
fashion_bags_accessories;6071.07;74.0;7869.95;87.0;-22.86;ok
bed_bath_table;54405.23;617.0;70857.08;764.0;-23.22;ok
perfumery;20645.97;199.0;26963.93;186.0;-23.43;ok
books_imported;357.79;7.0;468.17;9.0;-23.58;ok
air_conditioning;2657.86;17.0;3567.9;15.0;-25.51;ok
art;1843.2;21.0;2500.14;28.0;-26.28;ok
home_construction;6700.25;60.0;9094.59;71.0;-26.33;ok
construction_tools_safety;1888.95;15.0;2565.37;16.0;-26.37;ok
baby;21834.12;214.0;30550.32;223.0;-28.53;ok
party_supplies;57.5;2.0;84.8;2.0;-32.19;ok
fashion_shoes;820.19;5.0;1230.58;10.0;-33.35;ok
construction_tools_construction;15237.47;115.0;22947.72;113.0;-33.6;ok
signaling_and_security;3785.19;29.0;5863.18;27.0;-35.44;ok
small_appliances;8161.35;42.0;15431.63;49.0;-47.11;ok
musical_instruments;7871.93;36.0;16177.92;47.0;-51.34;ok
fashion_male_clothing;208.7;5.0;447.8;7.0;-53.39;ok
flowers;47.99;2.0;108.0;2.0;-55.56;ok
diapers_and_hygiene;121.0;3.0;321.0;7.0;-62.31;ok
market_place;186.78;4.0;556.46;7.0;-66.43;ok
dvds_blu_ray;83.99;1.0;382.88;6.0;-78.06;ok
arts_and_craftmanship;654.57;11.0;;;;new_this_month
fashion_childrens_clothes;;;89.99;1.0;;dropped_this_month
furniture_mattress_and_upholstery;129.9;1.0;;;;new_this_month
pc_gamer;438.0;2.0;;;;new_this_month
portateis_cozinha_e_preparadores_de_alimentos;172.03;8.0;;;;new_this_month
tablets_printing_image;;;50.0;1.0;;dropped_this_month
