category;revenue;units;avg_price;budget_revenue;budget_units;budget_avg_price;status;revenue_variance;variance_pct;price_effect;volume_effect;unbudgeted_effect;material
health_beauty;119391.01;835;142.983246;51481.7415;369.6;139.29042613636364;ok;67909.27;131.91;3083.5;64825.76;0.0;True
housewares;58763.36;616;95.395065;23896.3968;285.6;83.67085714285714;ok;34866.96;145.91;7222.11;27644.85;0.0;True
watches_gifts;69767.06;411;169.749538;37979.4975;221.55;171.4263033175355;ok;31787.56;83.7;-689.15;32476.71;0.0;True
computers;8711.5;12;725.958333;35640.0;30.800000000000004;1157.1428571428569;ok;-26928.5;-75.56;-5174.21;-21754.29;0.0;True
telephony;36572.91;271;134.955387;11080.9755;138.6;79.94931818181819;ok;25491.93;230.05;14906.64;10585.29;0.0;True
auto;45032.58;370;121.709676;19868.7405;169.05;117.53173913043476;ok;25163.84;126.65;1545.84;23618.0;0.0;True
cool_stuff;15794.89;119;132.730168;40177.7355;268.8;149.4707421875;ok;-24382.85;-60.69;-1992.13;-22390.72;0.0;True
construction_tools_construction;22917.16;162;141.463951;1203.6;7.140000000000001;168.57142857142856;ok;21713.56;1804.05;-4391.41;26104.97;0.0;True
pet_shop;24608.07;198;124.283182;10947.079500000002;93.45;117.14370786516857;ok;13660.99;124.79;1413.62;12247.37;0.0;True
perfumery;24839.74;218;113.943761;13739.355;133.35;103.03228346456694;ok;11100.39;80.79;2378.7;8721.68;0.0;True
stationery;15445.65;169;91.394379;6685.2555;84.0;79.586375;ok;8760.39;131.04;1995.55;6764.84;0.0;True
sports_leisure;50860.18;471;107.983397;42656.0085;437.85;97.4215107913669;ok;8204.17;19.23;4974.65;3229.52;0.0;True
food;8174.18;115;71.079826;382.725;8.4;45.5625;ok;7791.45;2035.78;2934.49;4856.96;0.0;True
construction_tools_lights;8212.53;62;132.460161;600.78;2.04;294.5;ok;7611.75;1266.98;-10046.47;17658.22;0.0;True
electronics;10739.57;119;90.248487;3139.5650000000005;61.60000000000001;50.96696428571429;ok;7600.0;242.07;4674.5;2925.5;0.0;True
garden_tools;16314.7;136;119.961029;23379.3486;237.66;98.37309012875536;ok;-7064.65;-30.22;2935.96;-10000.61;0.0;True
furniture_decor;41168.55;430;95.740814;34267.8078;434.52;78.86359154929578;ok;6900.74;20.14;7257.21;-356.46;0.0;True
home_construction;6286.16;48;130.961667;127.296;1.02;124.8;ok;6158.86;4838.22;295.76;5863.1;0.0;True
agro_industry_and_commerce;5021.09;18;278.949444;92.4;4.2;22.0;ok;4928.69;5334.08;4625.09;303.6;0.0;False
consoles_games;4381.31;59;74.259492;8860.225;92.4;95.88988095238096;ok;-4478.91;-50.55;-1276.19;-3202.72;0.0;False
construction_tools_safety;3970.22;25;158.8088;9.078;1.02;8.9;ok;3961.14;43634.52;3747.72;213.42;0.0;False
home_appliances_2;7532.76;14;538.054286;3760.281;15.3;245.77;ok;3772.48;100.32;4091.98;-319.5;0.0;False
office_furniture;6758.87;30;225.295667;10074.9072;59.16;170.2993103448276;ok;-3316.04;-32.91;1649.89;-4965.93;0.0;False
bed_bath_table;60891.09;655;92.963496;57712.2426;516.12;111.81942687747036;ok;3178.85;5.51;-12350.63;15529.48;0.0;False
musical_instruments;10519.34;41;256.569268;7444.0275;24.15;308.2413043478261;ok;3075.31;41.31;-2118.55;5193.87;0.0;False
uncategorized;2199.05;31;70.937097;5216.8725;78.75;66.24600000000001;ok;-3017.82;-57.85;145.42;-3163.25;0.0;False
small_appliances_home_oven_and_coffee;2996.72;17;176.277647;22.338;1.02;21.9;ok;2974.38;13315.35;2624.42;349.96;0.0;False
computers_accessories;40052.64;415;96.512386;37209.117000000006;375.1;99.19785923753666;ok;2843.52;7.64;-1114.47;3957.99;0.0;False
furniture_living_room;5223.34;40;130.5835;2527.6314;23.46;107.74217391304347;ok;2695.71;106.65;913.65;1782.06;0.0;False
home_appliances;6443.85;63;102.283333;3999.777;42.84;93.3654761904762;ok;2444.07;61.11;561.82;1882.25;0.0;False
costruction_tools_garden;3688.76;23;160.38087;1311.9138;10.2;128.619;ok;2376.85;181.17;730.52;1646.32;0.0;False
home_confort;2241.28;16;140.08;4080.1938;28.56;142.86392857142857;ok;-1838.91;-45.07;-44.54;-1794.37;0.0;False
portateis_cozinha_e_preparadores_de_alimentos;1803.6;4;450.9;0.0;0.0;0.0;unbudgeted;1803.6;;;;1803.6;False
small_appliances;6168.06;23;268.176522;4511.860500000001;37.8;119.3613888888889;ok;1656.2;36.71;3422.75;-1766.55;0.0;False
toys;16923.75;165;102.568182;18559.1385;191.1;97.1174175824176;ok;-1635.39;-8.81;899.38;-2534.76;0.0;False
furniture_bedroom;2197.0;12;183.083333;630.36;3.06;206.0;ok;1566.64;248.53;-275.0;1841.64;0.0;False
signaling_and_security;1825.59;22;82.981364;396.69000000000005;4.2;94.45;ok;1428.9;360.21;-252.31;1681.21;0.0;False
fashion_bags_accessories;8127.53;126;64.504206;6760.834500000001;99.75;67.77778947368422;ok;1366.7;20.21;-412.47;1779.17;0.0;False
industry_commerce_and_business;2364.69;10;236.469;1004.745;3.1500000000000004;318.96666666666664;ok;1359.95;135.35;-824.98;2184.92;0.0;False
drinks;1423.26;27;52.713333;125.895;2.1;59.95;ok;1297.37;1030.51;-195.39;1492.75;0.0;False
party_supplies;1285.29;14;91.806429;0.0;0.0;0.0;unbudgeted;1285.29;;;;1285.29;False
costruction_tools_tools;1255.77;14;89.697857;0.0;0.0;0.0;unbudgeted;1255.77;;;;1255.77;False
