month,category,tier,growth_rate,budget_revenue,budget_units,budget_avg_price
2017-09,health_beauty,mid,0.05,141.7185,3.1500000000000004,44.989999999999995
2017-10,air_conditioning,mid,0.05,1416.7545,8.4,168.66125
2017-10,audio,high,0.1,172.68900000000002,2.2,78.495
2017-10,auto,mid,0.05,1184.673,8.4,141.0325
2017-10,baby,mid,0.05,1439.7285000000002,11.55,124.65181818181819
2017-10,bed_bath_table,low,0.02,488.56980000000004,8.16,59.87375
2017-10,computers_accessories,high,0.1,735.922,13.200000000000001,55.751666666666665
2017-10,consoles_games,high,0.1,3981.2960000000003,7.700000000000001,517.0514285714286
2017-10,cool_stuff,mid,0.05,1098.405,7.3500000000000005,149.44285714285712
2017-10,electronics,high,0.1,118.789,1.1,107.99
2017-10,fashion_bags_accessories,mid,0.05,391.96500000000003,8.4,46.6625
2017-10,fashion_male_clothing,mid,0.05,26.145,1.05,24.9
2017-10,fashion_shoes,mid,0.05,31.4895,1.05,29.99
2017-10,fixed_telephony,mid,0.05,740.124,5.25,140.976
2017-10,food,mid,0.05,83.89500000000001,1.05,79.9
2017-10,furniture_decor,low,0.02,5804.330400000001,66.3,87.54646153846156
2017-10,garden_tools,low,0.02,1387.0776,5.1,271.97600000000006
2017-10,health_beauty,mid,0.05,3611.2125,42.0,85.98125
2017-10,housewares,low,0.02,1312.8114,12.24,107.25583333333334
2017-10,industry_commerce_and_business,mid,0.05,377.58000000000004,4.2,89.9
2017-10,market_place,mid,0.05,961.0545,11.55,83.20818181818181
2017-10,office_furniture,low,0.02,1326.8976000000002,6.12,216.81333333333336
2017-10,perfumery,mid,0.05,5070.555,30.450000000000003,166.52068965517242
2017-10,pet_shop,mid,0.05,724.164,4.2,172.42
2017-10,sports_leisure,mid,0.05,2112.7575,17.85,118.36176470588235
2017-10,telephony,mid,0.05,239.7045,8.4,28.53625
2017-10,toys,mid,0.05,4311.825,25.200000000000003,171.10416666666663
2017-10,uncategorized,mid,0.05,69.1845,2.1,32.945
2017-10,watches_gifts,mid,0.05,2846.6235,4.2,677.7675
2017-12,fashion_bags_accessories,mid,0.05,11.445,1.05,10.9
2018-01,agro_industry_and_commerce,mid,0.05,69.2685,3.1500000000000004,21.99
2018-01,air_conditioning,mid,0.05,696.8850000000001,4.2,165.925
2018-01,auto,mid,0.05,5061.0315,32.550000000000004,155.4848387096774
2018-01,baby,mid,0.05,6528.774,42.0,155.447
2018-01,bed_bath_table,low,0.02,3880.4472,46.92,82.70347826086956
2018-01,books_general_interest,mid,0.05,246.6345,2.1,117.445
2018-01,computers,high,0.1,2419.989,1.1,2199.99
2018-01,computers_accessories,high,0.1,4316.554,34.1,126.58516129032257
2018-01,consoles_games,high,0.1,4965.884,23.1,214.97333333333333
2018-01,cool_stuff,mid,0.05,7199.7135,38.85,185.3208108108108
2018-01,dvds_blu_ray,mid,0.05,31.290000000000003,2.1,14.9
2018-01,electronics,high,0.1,678.7,12.100000000000001,56.090909090909086
2018-01,fashio_female_clothing,mid,0.05,81.165,2.1,38.65
2018-01,fashion_bags_accessories,mid,0.05,1755.5685,36.75,47.77057142857143
2018-01,fashion_male_clothing,mid,0.05,133.245,1.05,126.9
2018-01,fashion_shoes,mid,0.05,36.645,1.05,34.9
2018-01,fashion_underwear_beach,mid,0.05,144.1125,2.1,68.625
2018-01,fixed_telephony,mid,0.05,710.976,23.1,30.778181818181817
2018-01,food,mid,0.05,44.961000000000006,2.1,21.41
2018-01,furniture_bedroom,low,0.02,74.664,8.16,9.15
2018-01,furniture_decor,low,0.02,13297.362599999999,180.54,73.65327683615818
2018-01,furniture_living_room,low,0.02,1266.738,10.2,124.19000000000001
2018-01,garden_tools,low,0.02,7616.289,55.08,138.27685185185186
2018-01,health_beauty,mid,0.05,12984.762,86.10000000000001,150.81024390243903
2018-01,home_appliances_2,low,0.02,1955.1156,7.140000000000001,273.8257142857143
2018-01,housewares,low,0.02,2884.1316,28.560000000000002,100.985
2018-01,kitchen_dining_laundry_garden_furniture,low,0.02,112.2,1.02,110.0
2018-01,luggage_accessories,mid,0.05,517.125,5.25,98.5
2018-01,market_place,mid,0.05,434.847,5.25,82.828
2018-01,music,mid,0.05,20.790000000000003,2.1,9.9
2018-01,musical_instruments,mid,0.05,356.72700000000003,1.05,339.74
2018-01,office_furniture,low,0.02,1181.5169999999998,8.16,144.79375
2018-01,perfumery,mid,0.05,5368.2300000000005,35.7,150.37058823529412
2018-01,pet_shop,mid,0.05,839.076,14.700000000000001,57.08
2018-01,small_appliances,mid,0.05,1743.8295,6.300000000000001,276.7983333333333
2018-01,sports_leisure,mid,0.05,9672.747,77.7,124.48837837837837
2018-01,stationery,mid,0.05,1640.0895,14.700000000000001,111.57071428571427
2018-01,telephony,mid,0.05,793.7370000000001,23.1,34.36090909090909
2018-01,toys,mid,0.05,4796.599499999999,43.050000000000004,111.4192682926829
2018-01,uncategorized,mid,0.05,1683.8220000000001,12.600000000000001,133.63666666666666
2018-01,watches_gifts,mid,0.05,8490.846000000001,11.55,735.1381818181819
2018-02,agro_industry_and_commerce,mid,0.05,236.08200000000002,7.3500000000000005,32.12
2018-02,air_conditioning,mid,0.05,2525.5650000000005,11.55,218.66363636363639
2018-02,audio,high,0.1,180.18000000000004,5.5,32.760000000000005
2018-02,auto,mid,0.05,12976.719000000001,87.15,148.90096385542168
2018-02,baby,mid,0.05,2979.459,33.6,88.674375
2018-02,bed_bath_table,low,0.02,15883.5726,160.14000000000001,99.18554140127387
2018-02,books_general_interest,mid,0.05,811.3455000000001,8.4,96.58875
2018-02,books_technical,mid,0.05,166.95000000000002,1.05,159.0
2018-02,cine_photo,mid,0.05,61.95,1.05,59.0
2018-02,computers_accessories,high,0.1,12450.999000000002,110.00000000000001,113.1909
2018-02,consoles_games,high,0.1,4724.247000000001,19.8,238.5983333333334
2018-02,construction_tools_construction,low,0.02,343.5258,3.06,112.26333333333334
2018-02,construction_tools_safety,low,0.02,386.58,1.02,379.0
2018-02,cool_stuff,mid,0.05,13077.330000000002,72.45,180.50144927536235
2018-02,costruction_tools_garden,low,0.02,591.5796,2.04,289.99
2018-02,dvds_blu_ray,mid,0.05,15.645000000000001,1.05,14.9
2018-02,electronics,high,0.1,1340.735,20.900000000000002,64.14999999999999
2018-02,fashio_female_clothing,mid,0.05,382.09499999999997,3.1500000000000004,121.29999999999998
2018-02,fashion_bags_accessories,mid,0.05,2278.8255,37.800000000000004,60.28638888888888
