"month";"category";"revenue";"units";"avg_price"
"2016-09";"health_beauty";134.97;3;44.99
"2016-10";"air_conditioning";1349.29;8;168.66125
"2016-10";"audio";156.99;2;78.495
"2016-10";"auto";1128.26;8;141.0325
"2016-10";"baby";1371.17;11;124.651818
"2016-10";"bed_bath_table";478.99;8;59.87375
"2016-10";"computers_accessories";669.02;12;55.751667
"2016-10";"consoles_games";3619.36;7;517.051429
"2016-10";"cool_stuff";1046.1;7;149.442857
"2016-10";"diapers_and_hygiene";134.9;1;134.9
"2016-10";"electronics";107.99;1;107.99
"2016-10";"fashio_female_clothing";54.9;1;54.9
"2016-10";"fashion_bags_accessories";373.3;8;46.6625
"2016-10";"fashion_male_clothing";24.9;1;24.9
"2016-10";"fashion_shoes";29.99;1;29.99
"2016-10";"fixed_telephony";704.88;5;140.976
"2016-10";"food";79.9;1;79.9
"2016-10";"furniture_decor";5690.52;65;87.546462
"2016-10";"garden_tools";1359.88;5;271.976
"2016-10";"health_beauty";3439.25;40;85.98125
"2016-10";"housewares";1287.07;12;107.255833
"2016-10";"industry_commerce_and_business";359.6;4;89.9
"2016-10";"market_place";915.29;11;83.208182
"2016-10";"office_furniture";1300.88;6;216.813333
"2016-10";"perfumery";4829.1;29;166.52069
"2016-10";"pet_shop";689.68;4;172.42
"2016-10";"sports_leisure";2012.15;17;118.361765
"2016-10";"telephony";228.29;8;28.53625
"2016-10";"toys";4106.5;24;171.104167
"2016-10";"uncategorized";65.89;2;32.945
"2016-10";"watches_gifts";2711.07;4;677.7675
"2016-12";"fashion_bags_accessories";10.9;1;10.9
"2017-01";"agro_industry_and_commerce";65.97;3;21.99
"2017-01";"air_conditioning";663.7;4;165.925
"2017-01";"auto";4820.03;31;155.484839
"2017-01";"baby";6217.88;40;155.447
"2017-01";"bed_bath_table";3804.36;46;82.703478
"2017-01";"books_general_interest";234.89;2;117.445
"2017-01";"computers";2199.99;1;2199.99
"2017-01";"computers_accessories";3924.14;31;126.585161
"2017-01";"consoles_games";4514.44;21;214.973333
"2017-01";"cool_stuff";6856.87;37;185.320811
"2017-01";"dvds_blu_ray";29.8;2;14.9
"2017-01";"electronics";617.0;11;56.090909
"2017-01";"fashio_female_clothing";77.3;2;38.65
"2017-01";"fashion_bags_accessories";1671.97;35;47.770571
"2017-01";"fashion_male_clothing";126.9;1;126.9
"2017-01";"fashion_shoes";34.9;1;34.9
"2017-01";"fashion_underwear_beach";137.25;2;68.625
"2017-01";"fixed_telephony";677.12;22;30.778182
"2017-01";"food";42.82;2;21.41
"2017-01";"furniture_bedroom";73.2;8;9.15
"2017-01";"furniture_decor";13036.63;177;73.653277
"2017-01";"furniture_living_room";1241.9;10;124.19
"2017-01";"garden_tools";7466.95;54;138.276852
"2017-01";"health_beauty";12366.44;82;150.810244
"2017-01";"home_appliances_2";1916.78;7;273.825714
"2017-01";"home_comfort_2";72.8;2;36.4
"2017-01";"housewares";2827.58;28;100.985
"2017-01";"kitchen_dining_laundry_garden_furniture";110.0;1;110.0
"2017-01";"luggage_accessories";492.5;5;98.5
"2017-01";"market_place";414.14;5;82.828
"2017-01";"music";19.8;2;9.9
"2017-01";"musical_instruments";339.74;1;339.74
"2017-01";"office_furniture";1158.35;8;144.79375
"2017-01";"perfumery";5112.6;34;150.370588
"2017-01";"pet_shop";799.12;14;57.08
"2017-01";"security_and_services";183.29;1;183.29
"2017-01";"small_appliances";1660.79;6;276.798333
"2017-01";"sports_leisure";9212.14;74;124.488378
"2017-01";"stationery";1561.99;14;111.570714
"2017-01";"telephony";755.94;22;34.360909
"2017-01";"toys";4568.19;41;111.419268
"2017-01";"uncategorized";1603.64;12;133.636667
"2017-01";"watches_gifts";8086.52;11;735.138182
"2017-02";"agro_industry_and_commerce";224.84;7;32.12
"2017-02";"air_conditioning";2405.3;11;218.663636
"2017-02";"audio";163.8;5;32.76
"2017-02";"auto";12358.78;83;148.900964
"2017-02";"baby";2837.58;32;88.674375
"2017-02";"bed_bath_table";15572.13;157;99.185541
"2017-02";"books_general_interest";772.71;8;96.58875
"2017-02";"books_technical";159.0;1;159.0
"2017-02";"cine_photo";59.0;1;59.0
"2017-02";"computers";3549.0;1;3549.0
"2017-02";"computers_accessories";11319.09;100;113.1909
"2017-02";"consoles_games";4294.77;18;238.598333
"2017-02";"construction_tools_construction";336.79;3;112.263333
"2017-02";"construction_tools_safety";379.0;1;379.0
"2017-02";"cool_stuff";12454.6;69;180.501449
"2017-02";"costruction_tools_garden";579.98;2;289.99
"2017-02";"dvds_blu_ray";14.9;1;14.9
"2017-02";"electronics";1218.85;19;64.15
"2017-02";"fashio_female_clothing";363.9;3;121.3
"2017-02";"fashion_bags_accessories";2170.31;36;60.286389
"2017-02";"fashion_male_clothing";545.95;6;90.991667
"2017-02";"fashion_shoes";107.05;3;35.683333
"2017-02";"fashion_underwear_beach";396.97;8;49.62125
"2017-02";"fixed_telephony";759.23;22;34.510455
"2017-02";"food";676.73;8;84.59125
"2017-02";"furniture_bedroom";450.0;1;450.0
"2017-02";"furniture_decor";19926.41;257;77.534669
"2017-02";"furniture_living_room";3409.64;21;162.36381
"2017-02";"garden_tools";11734.62;69;170.066957
"2017-02";"health_beauty";22059.92;154;143.246234
"2017-02";"home_appliances";740.9;7;105.842857
"2017-02";"home_appliances_2";15.99;1;15.99
"2017-02";"home_confort";414.66;3;138.22
"2017-02";"home_construction";695.6;4;173.9
"2017-02";"housewares";11295.34;69;163.70058
"2017-02";"industry_commerce_and_business";119.0;1;119.0
"2017-02";"kitchen_dining_laundry_garden_furniture";139.9;2;69.95
"2017-02";"luggage_accessories";1659.19;20;82.9595
"2017-02";"market_place";1574.22;20;78.711
"2017-02";"musical_instruments";2221.28;9;246.808889
"2017-02";"office_furniture";10845.98;62;174.935161
"2017-02";"perfumery";8040.38;49;164.089388
"2017-02";"pet_shop";3584.87;39;91.919744
"2017-02";"small_appliances";7251.58;28;258.985
"2017-02";"sports_leisure";15629.98;149;104.899195
"2017-02";"stationery";2341.4;19;123.231579
"2017-02";"tablets_printing_image";792.0;8;99.0
"2017-02";"telephony";6693.34;106;63.144717
"2017-02";"toys";9353.44;66;141.718788
"2017-02";"uncategorized";8521.11;56;152.162679
"2017-02";"watches_gifts";10992.39;33;333.102727
"2017-03";"agro_industry_and_commerce";81.99;2;40.995
"2017-03";"air_conditioning";4103.81;17;241.400588
"2017-03";"art";174.6;4;43.65
"2017-03";"audio";1134.77;14;81.055
"2017-03";"auto";13272.93;78;170.165769
"2017-03";"baby";3592.28;42;85.530476
